DrugA,DrugB,SMILES_A,SMILES_B,LD50_A_mg/kg,LD50_B_mg/kg,Mixture_LD50_mg/kg,MW_A,MW_B,LD50_A_neglog,LD50_B_neglog,Mixture_neglog
Aniline,Isophorone,Nc1ccccc1,CC1=CC(=O)CC(C)(C)C1,725.6199999999999,2104.44,1815.6575000000005,93.12899999999999,138.20999999999998,2.1083756950975885,1.8174029189459762,1.8041849303315458
Aniline,Morpholine,Nc1ccccc1,C1COCCN1,725.6199999999999,1631.34,758.846,93.12899999999999,87.122,2.1083756950975885,1.7275833515664596,2.0746940378877077
Aniline,Nitrobenzene,Nc1ccccc1,[O-][N+](=O)c1ccccc1,725.6199999999999,599.5,494.1725,93.12899999999999,123.11099999999996,2.1083756950975885,2.3125076715555126,2.340027463161263
Aniline,Phenyl Cellosolve,Nc1ccccc1,c1ccccc1OCCO,725.6199999999999,3614.56,1652.4720000000002,93.12899999999999,138.166,2.1083756950975885,1.582345746423963,1.845002139484949
Aniline,PEG 400,Nc1ccccc1,OCCOCCOCCOCCOCCOCCOCCOCCO,725.6199999999999,45232.8,1339.45,93.12899999999999,370.4390000000002,2.1083756950975885,0.9132632308859374,2.2381569468321856
Aniline,Propylene glycol,Nc1ccccc1,CC(O)CO,725.6199999999999,45894.8,2025.072,93.12899999999999,76.095,2.1083756950975885,0.21959263974080165,1.6209914918669117
Aniline,Propylene oxide,Nc1ccccc1,CC1CO1,725.6199999999999,627.07,1128.6,93.12899999999999,58.08,2.1083756950975885,1.9667105837403391,1.8260075996598617
Aniline,Tergitol XD,Nc1ccccc1,CCCCCCCCCCCCCOCCOCCOCCO,725.6199999999999,5999.6,1684.338,93.12899999999999,332.5250000000001,2.1083756950975885,1.7437020056790038,2.10159747649403
Aniline,Tetrachloroethylene,Nc1ccccc1,ClC(Cl)=C(Cl)Cl,725.6199999999999,12976.0,1874.596,93.12899999999999,165.834,2.1083756950975885,1.1065327393989566,1.8393000359197595
Aniline,Toluene,Nc1ccccc1,Cc1ccccc1,725.6199999999999,6762.6,1638.7075000000002,93.12899999999999,92.14099999999999,2.1083756950975885,1.1343392211439922,1.7522736644652461
