DrugA,DrugB,SMILES_A,SMILES_B,LD50_A_mg/kg,LD50_B_mg/kg,Mixture_LD50_mg/kg
Butyl Cellosolve,Carbon tetrachloride,CCCCOCCO,ClC(Cl)(Cl)Cl,2146.76,4909.52,1970.5919999999999
Butyl Cellosolve,Diethanolamine,CCCCOCCO,OCCNCCO,2146.76,877.6,1870.0645
Butyl Cellosolve,Dioxane,CCCCOCCO,C1COCCO1,2146.76,6683.509999999999,4261.837500000001
Butyl Cellosolve,Ethyl acetate,CCCCOCCO,CCOC(=O)C,2146.76,9831.800000000001,3203.904
Butyl Cellosolve,Ethyl acrylate,CCCCOCCO,CCOC(=O)C=C,2146.76,761.1099999999999,1257.8385
Butyl Cellosolve,Ethyl alcohol,CCCCOCCO,CCO,2146.76,15543.300000000001,2967.705
Butyl Cellosolve,Ethylene glycol,CCCCOCCO,OCCO,2146.76,7189.9800000000005,3129.295
Butyl Cellosolve,Formalin,CCCCOCCO,C=O,2146.76,2016.5000000000002,1535.832
Butyl Cellosolve,Isophorone,CCCCOCCO,CC1=CC(=O)CC(C)(C)C1,2146.76,2104.44,2760.3125000000005
Butyl Cellosolve,Morpholine,CCCCOCCO,C1COCCN1,2146.76,1631.34,1673.2384999999997
Butyl Cellosolve,Nitrobenzene,CCCCOCCO,[O-][N+](=O)c1ccccc1,2146.76,599.5,1021.0859999999999
Butyl Cellosolve,Phenyl Cellosolve,CCCCOCCO,c1ccccc1OCCO,2146.76,3614.56,5528.034000000001
Butyl Cellosolve,PEG 400,CCCCOCCO,OCCOCCOCCOCCOCCOCCOCCOCCO,2146.76,45232.799999999996,3061.24
Butyl Cellosolve,Propylene glycol,CCCCOCCO,CC(O)CO,2146.76,45894.799999999996,3367.275
Butyl Cellosolve,Propylene oxide,CCCCOCCO,CC1CO1,2146.76,627.07,1537.3530000000003
Butyl Cellosolve,Tergitol XD,CCCCOCCO,CCCCCCCCCCCCCOCCOCCOCCO,2146.76,5999.6,4502.79
Butyl Cellosolve,Tetrachloroethylene,CCCCOCCO,ClC(Cl)=C(Cl)Cl,2146.76,12976.0,2987.154
Butyl Cellosolve,Toluene,CCCCOCCO,Cc1ccccc1,2146.76,6762.6,2320.9280000000003
Butyl Cellosolve,Ucon 50HB260,CCCCOCCO,CC(C)OCC(C)OCC(C)O,2146.76,5596.500000000001,3649.2639999999997
Butyl Cellosolve,Ucon LB250,CCCCOCCO,CC(C)OCC(C)OCC(C)O,2146.76,10605.0,4086.5119999999997
Butyl ether,Carbon tetrachloride,CCCCOCCCC,ClC(Cl)(Cl)Cl,10390.4,4909.52,3546.4320000000002
Butyl ether,Diethanolamine,CCCCOCCCC,OCCNCCO,10390.4,877.6,1528.8115
Butyl ether,Dioxane,CCCCOCCCC,C1COCCO1,10390.4,6683.509999999999,9491.754
Butyl ether,Ethyl acetate,CCCCOCCCC,CCOC(=O)C,10390.4,9831.800000000001,11200.517999999998
Butyl ether,Ethyl acrylate,CCCCOCCCC,CCOC(=O)C=C,10390.4,761.1099999999999,1584.3425
Butyl ether,Ethyl alcohol,CCCCOCCCC,CCO,10390.4,15543.300000000001,16884.9925
Butyl ether,Ethylene glycol,CCCCOCCCC,OCCO,10390.4,7189.9800000000005,11578.2745
Butyl ether,Formalin,CCCCOCCCC,C=O,10390.4,2016.5000000000002,1301.5079999999998
Butyl ether,Isophorone,CCCCOCCCC,CC1=CC(=O)CC(C)(C)C1,10390.4,2104.44,4451.1495
Butyl ether,Morpholine,CCCCOCCCC,C1COCCN1,10390.4,1631.34,2786.6684999999998
Butyl ether,Nitrobenzene,CCCCOCCCC,[O-][N+](=O)c1ccccc1,10390.4,599.5,740.051
Butyl ether,Phenyl Cellosolve,CCCCOCCCC,c1ccccc1OCCO,10390.4,3614.56,4651.938
Butyl ether,PEG 400,CCCCOCCCC,OCCOCCOCCOCCOCCOCCOCCOCCO,10390.4,45232.799999999996,24017.994
Butyl ether,Propylene glycol,CCCCOCCCC,CC(O)CO,10390.4,45894.799999999996,27954.9
Butyl ether,Propylene oxide,CCCCOCCCC,CC1CO1,10390.4,627.07,2007.651
Butyl ether,Tergitol XD,CCCCOCCCC,CCCCCCCCCCCCCOCCOCCOCCO,10390.4,5999.6,6177.888
Butyl ether,Tetrachloroethylene,CCCCOCCCC,ClC(Cl)=C(Cl)Cl,10390.4,12976.0,4354.45
Butyl ether,Toluene,CCCCOCCCC,Cc1ccccc1,10390.4,6762.6,13702.846500000001
Butyl ether,Ucon 50HB260,CCCCOCCCC,CC(C)OCC(C)OCC(C)O,10390.4,5596.500000000001,5183.505
Butyl ether,Ucon LB250,CCCCOCCCC,CC(C)OCC(C)OCC(C)O,10390.4,10605.0,19836.997
Carbon tetrachloride,Diethanolamine,ClC(Cl)(Cl)Cl,OCCNCCO,4909.52,877.6,1461.2130000000002
Carbon tetrachloride,Dioxane,ClC(Cl)(Cl)Cl,C1COCCO1,4909.52,6683.509999999999,4530.261499999999
Carbon tetrachloride,Ethyl acetate,ClC(Cl)(Cl)Cl,CCOC(=O)C,4909.52,9831.800000000001,14619.072
Carbon tetrachloride,Ethyl acrylate,ClC(Cl)(Cl)Cl,CCOC(=O)C=C,4909.52,761.1099999999999,2104.218
Carbon tetrachloride,Ethyl alcohol,ClC(Cl)(Cl)Cl,CCO,4909.52,15543.300000000001,5822.860499999999
Carbon tetrachloride,Ethylene glycol,ClC(Cl)(Cl)Cl,OCCO,4909.52,7189.9800000000005,10082.2215
Carbon tetrachloride,Formalin,ClC(Cl)(Cl)Cl,C=O,4909.52,2016.5000000000002,6743.550000000001
Carbon tetrachloride,Isophorone,ClC(Cl)(Cl)Cl,CC1=CC(=O)CC(C)(C)C1,4909.52,2104.44,1673.8050000000005
Carbon tetrachloride,Morpholine,ClC(Cl)(Cl)Cl,C1COCCN1,4909.52,1631.34,1243.2779999999998
Carbon tetrachloride,Nitrobenzene,ClC(Cl)(Cl)Cl,[O-][N+](=O)c1ccccc1,4909.52,599.5,816.9525
Carbon tetrachloride,Phenyl Cellosolve,ClC(Cl)(Cl)Cl,c1ccccc1OCCO,4909.52,3614.56,3857.976
Carbon tetrachloride,PEG 400,ClC(Cl)(Cl)Cl,OCCOCCOCCOCCOCCOCCOCCOCCO,4909.52,45232.799999999996,6712.452000000001
Carbon tetrachloride,Propylene glycol,ClC(Cl)(Cl)Cl,CC(O)CO,4909.52,45894.799999999996,9709.960000000001
Carbon tetrachloride,Propylene oxide,ClC(Cl)(Cl)Cl,CC1CO1,4909.52,627.07,1340.5645000000002
Carbon tetrachloride,Tergitol XD,ClC(Cl)(Cl)Cl,CCCCCCCCCCCCCOCCOCCOCCO,4909.52,5999.6,9287.673
Carbon tetrachloride,Tetrachloroethylene,ClC(Cl)(Cl)Cl,ClC(Cl)=C(Cl)Cl,4909.52,12976.0,4110.048
Carbon tetrachloride,Toluene,ClC(Cl)(Cl)Cl,Cc1ccccc1,4909.52,6762.6,3599.2125
Carbon tetrachloride,Ucon 50HB260,ClC(Cl)(Cl)Cl,CC(C)OCC(C)OCC(C)O,4909.52,5596.500000000001,6218.688
Carbon tetrachloride,Ucon LB250,ClC(Cl)(Cl)Cl,CC(C)OCC(C)OCC(C)O,4909.52,10605.0,10065.708
Diethanolamine,Dioxane,OCCNCCO,C1COCCO1,877.6,6683.509999999999,1723.17
Diethanolamine,Ethyl acetate,OCCNCCO,CCOC(=O)C,877.6,9831.800000000001,1460.2695
Diethanolamine,Ethyl acrylate,OCCNCCO,CCOC(=O)C=C,877.6,761.1099999999999,2930.3700000000003
Diethanolamine,Ethyl alcohol,OCCNCCO,CCO,877.6,15543.300000000001,1007.1240000000001
Diethanolamine,Ethylene glycol,OCCNCCO,OCCO,877.6,7189.9800000000005,2215.525
Diethanolamine,Formalin,OCCNCCO,C=O,877.6,2016.5000000000002,667.0350000000001
Diethanolamine,Isophorone,OCCNCCO,CC1=CC(=O)CC(C)(C)C1,877.6,2104.44,1684.68
Diethanolamine,Morpholine,OCCNCCO,C1COCCN1,877.6,1631.34,1211.9039999999998
Diethanolamine,Nitrobenzene,OCCNCCO,[O-][N+](=O)c1ccccc1,877.6,599.5,1009.0920000000001
Diethanolamine,Phenyl Cellosolve,OCCNCCO,c1ccccc1OCCO,877.6,3614.56,1860.3539999999998
Diethanolamine,PEG 400,OCCNCCO,OCCOCCOCCOCCOCCOCCOCCOCCO,877.6,45232.799999999996,1352.7999999999997
Diethanolamine,Propylene glycol,OCCNCCO,CC(O)CO,877.6,45894.799999999996,1883.439
Diethanolamine,Propylene oxide,OCCNCCO,CC1CO1,877.6,627.07,1009.2959999999999
Diethanolamine,Tergitol XD,OCCNCCO,CCCCCCCCCCCCCOCCOCCOCCO,877.6,5999.6,2128.959
Diethanolamine,Tetrachloroethylene,OCCNCCO,ClC(Cl)=C(Cl)Cl,877.6,12976.0,2746.1900000000005
Diethanolamine,Toluene,OCCNCCO,Cc1ccccc1,877.6,6762.6,1516.208
Diethanolamine,Ucon 50HB260,OCCNCCO,CC(C)OCC(C)OCC(C)O,877.6,5596.500000000001,1866.8165000000004
Diethanolamine,Ucon LB250,OCCNCCO,CC(C)OCC(C)OCC(C)O,877.6,10605.0,1788.451
Dioxane,Ethyl acetate,C1COCCO1,CCOC(=O)C,6683.509999999999,9831.800000000001,11223.0
Dioxane,Ethyl acrylate,C1COCCO1,CCOC(=O)C=C,6683.509999999999,761.1099999999999,1304.5500000000002
Dioxane,Ethyl alcohol,C1COCCO1,CCO,6683.509999999999,15543.300000000001,14547.759
Dioxane,Ethylene glycol,C1COCCO1,OCCO,6683.509999999999,7189.9800000000005,12845.956
Dioxane,Formalin,C1COCCO1,C=O,6683.509999999999,2016.5000000000002,2166.5215
Dioxane,Isophorone,C1COCCO1,CC1=CC(=O)CC(C)(C)C1,6683.509999999999,2104.44,3747.696
Dioxane,Morpholine,C1COCCO1,C1COCCN1,6683.509999999999,1631.34,3830.1
Dioxane,Nitrobenzene,C1COCCO1,[O-][N+](=O)c1ccccc1,6683.509999999999,599.5,745.4880000000002
Dioxane,Phenyl Cellosolve,C1COCCO1,c1ccccc1OCCO,6683.509999999999,3614.56,5403.6849999999995
Dioxane,PEG 400,C1COCCO1,OCCOCCOCCOCCOCCOCCOCCOCCO,6683.509999999999,45232.799999999996,22295.036999999997
Dioxane,Propylene glycol,C1COCCO1,CC(O)CO,6683.509999999999,45894.799999999996,22902.7955
Dioxane,Propylene oxide,C1COCCO1,CC1CO1,6683.509999999999,627.07,1772.804
Dioxane,Tergitol XD,C1COCCO1,CCCCCCCCCCCCCOCCOCCOCCO,6683.509999999999,5999.6,10530.9295
Dioxane,Tetrachloroethylene,C1COCCO1,ClC(Cl)=C(Cl)Cl,6683.509999999999,12976.0,3355.92
Dioxane,Toluene,C1COCCO1,Cc1ccccc1,6683.509999999999,6762.6,7466.05
Dioxane,Ucon 50HB260,C1COCCO1,CC(C)OCC(C)OCC(C)O,6683.509999999999,5596.500000000001,15218.398000000003
Dioxane,Ucon LB250,C1COCCO1,CC(C)OCC(C)OCC(C)O,6683.509999999999,10605.0,11735.622000000001
Ethyl acetate,Ethyl acrylate,CCOC(=O)C,CCOC(=O)C=C,9831.800000000001,761.1099999999999,1431.553
Ethyl acetate,Ethyl alcohol,CCOC(=O)C,CCO,9831.800000000001,15543.300000000001,16481.3315
Ethyl acetate,Ethylene glycol,CCOC(=O)C,OCCO,9831.800000000001,7189.9800000000005,14091.902500000002
Ethyl acetate,Formalin,CCOC(=O)C,C=O,9831.800000000001,2016.5000000000002,1167.312
Ethyl acetate,Isophorone,CCOC(=O)C,CC1=CC(=O)CC(C)(C)C1,9831.800000000001,2104.44,3018.55
Ethyl acetate,Morpholine,CCOC(=O)C,C1COCCN1,9831.800000000001,1631.34,3543.104
Ethyl acetate,Nitrobenzene,CCOC(=O)C,[O-][N+](=O)c1ccccc1,9831.800000000001,599.5,1035.793
Ethyl acetate,Phenyl Cellosolve,CCOC(=O)C,c1ccccc1OCCO,9831.800000000001,3614.56,6736.446
Ethyl acetate,PEG 400,CCOC(=O)C,OCCOCCOCCOCCOCCOCCOCCOCCO,9831.800000000001,45232.799999999996,24504.129999999997
Ethyl acetate,Propylene glycol,CCOC(=O)C,CC(O)CO,9831.800000000001,45894.799999999996,14741.397
Ethyl acetate,Propylene oxide,CCOC(=O)C,CC1CO1,9831.800000000001,627.07,987.9210000000002
Ethyl acetate,Tergitol XD,CCOC(=O)C,CCCCCCCCCCCCCOCCOCCOCCO,9831.800000000001,5999.6,18742.005
Ethyl acetate,Tetrachloroethylene,CCOC(=O)C,ClC(Cl)=C(Cl)Cl,9831.800000000001,12976.0,8889.528
Ethyl acetate,Toluene,CCOC(=O)C,Cc1ccccc1,9831.800000000001,6762.6,15175.3665
Ethyl acetate,Ucon 50HB260,CCOC(=O)C,CC(C)OCC(C)OCC(C)O,9831.800000000001,5596.500000000001,8031.503999999998
Ethyl acetate,Ucon LB250,CCOC(=O)C,CC(C)OCC(C)OCC(C)O,9831.800000000001,10605.0,14212.511999999999
Ethyl acrylate,Ethyl alcohol,CCOC(=O)C=C,CCO,761.1099999999999,15543.300000000001,1131.931
Ethyl acrylate,Ethylene glycol,CCOC(=O)C=C,OCCO,761.1099999999999,7189.9800000000005,1866.5850000000003
Ethyl acrylate,Formalin,CCOC(=O)C=C,C=O,761.1099999999999,2016.5000000000002,1150.011
Ethyl acrylate,Isophorone,CCOC(=O)C=C,CC1=CC(=O)CC(C)(C)C1,761.1099999999999,2104.44,1333.0800000000002
Ethyl acrylate,Nitrobenzene,CCOC(=O)C=C,[O-][N+](=O)c1ccccc1,761.1099999999999,599.5,616.814
Ethyl acrylate,Phenyl Cellosolve,CCOC(=O)C=C,c1ccccc1OCCO,761.1099999999999,3614.56,1714.131
Ethyl acrylate,PEG 400,CCOC(=O)C=C,OCCOCCOCCOCCOCCOCCOCCOCCO,761.1099999999999,45232.799999999996,1330.2725
Ethyl acrylate,Propylene glycol,CCOC(=O)C=C,CC(O)CO,761.1099999999999,45894.799999999996,1408.113
