SMILES_A,SMILES_B,Mixture_neglog
OCCNCCO,OCCOCCOCCOCCOCCOCCOCCOCCO,2.2449563395227567
OCCNCCO,CC(O)CO,1.682253328475532
OCCNCCO,CC1CO1,1.907716843327564
OCCNCCO,CCCCCCCCCCCCCOCCOCCOCCO,2.011941547198573
OCCNCCO,ClC(Cl)=C(Cl)Cl,1.6931622370362194
OCCNCCO,Cc1ccccc1,1.8132898769554757
OCCNCCO,CC(C)OCC(C)OCC(C)O,1.8771816631800724
OCCNCCO,CC(C)OCC(C)OCC(C)O,1.8958062481120164
C1COCCO1,CCOC(=O)C,0.8948965218637981
C1COCCO1,CCOC(=O)C=C,1.85818196636263
C1COCCO1,CCO,0.6638455104296763
C1COCCO1,OCCO,0.7667983228890419
C1COCCO1,C=O,1.435574557842031
C1COCCO1,CC1=CC(=O)CC(C)(C)C1,1.479920907763347
C1COCCO1,C1COCCN1,1.3593633953141935
C1COCCO1,[O-][N+](=O)c1ccccc1,2.151258217129543
C1COCCO1,c1ccccc1OCCO,1.320910795380614
C1COCCO1,OCCOCCOCCOCCOCCOCCOCCOCCO,1.0121437691476785
C1COCCO1,CC(O)CO,0.5544573067517784
C1COCCO1,CC1CO1,1.615215064306092
C1COCCO1,CCCCCCCCCCCCCOCCOCCOCCO,1.300404575483504
C1COCCO1,ClC(Cl)=C(Cl)Cl,1.5778895202256604
C1COCCO1,Cc1ccccc1,1.0817471554029283
C1COCCO1,CC(C)OCC(C)OCC(C)O,0.9388000953276465
C1COCCO1,CC(C)OCC(C)OCC(C)O,1.05166292055379
CCOC(=O)C,CCOC(=O)C=C,1.8178352640704232
CCOC(=O)C,CCO,0.609649313570915
CCOC(=O)C,OCCO,0.7265951233293315
CCOC(=O)C,C=O,1.7041506109543485
CCOC(=O)C,CC1=CC(=O)CC(C)(C)C1,1.5738868889484339
CCOC(=O)C,C1COCCN1,1.393189608139788
CCOC(=O)C,[O-][N+](=O)c1ccccc1,2.008425902523466
CCOC(=O)C,c1ccccc1OCCO,1.2251699871139605
CCOC(=O)C,OCCOCCOCCOCCOCCOCCOCCOCCO,0.9711126787366616
CCOC(=O)C,CC(O)CO,0.7458071597046687
CCOC(=O)C,CC1CO1,1.869153570036206
CCOC(=O)C,CCCCCCCCCCCCCOCCOCCOCCO,1.0500552314436629
CCOC(=O)C,ClC(Cl)=C(Cl)Cl,1.1548224173861596
CCOC(=O)C,Cc1ccccc1,0.7736988609530613
CCOC(=O)C,CC(C)OCC(C)OCC(C)O,1.2163721531604068
CCOC(=O)C,CC(C)OCC(C)OCC(C)O,0.9684981887690202
CCOC(=O)C=C,CCO,1.8100558332276857
CCOC(=O)C=C,OCCO,1.6379329179983928
CCOC(=O)C=C,C=O,1.7526888235624352
